state	sex	race	age	education	party	ideology	vote_2008	state_contestedness
WI	male	white	45-64	high school graduate	other	moderate	barack obama	quasi-battleground
CA	male	white	65+	some college	democrat	liberal	barack obama	solid obama
CT	male	white	18-29	some college	democrat	liberal	barack obama	solid obama
IL	male	white	45-64	college graduate	republican	conservative	barack obama	solid obama
MA	male	white	45-64	some college	other	moderate	john mcCain	solid obama
CO	female	white	65+	high school graduate	republican	conservative	john mcCain	battleground
CA	female	white	30-44	some college	democrat	liberal	barack obama	solid obama
TX	female	white	45-64	college graduate	republican	moderate	john mcCain	solid romney
NY	male	white	45-64	some college	other	liberal	barack obama	solid obama
FL	male	white	65+	college graduate	democrat	moderate	john mcCain	battleground
ND	female	white	18-29	high school graduate	republican	moderate	barack obama	solid romney
CO	female	white	45-64	college graduate	democrat	liberal	barack obama	battleground
VT	female	white	45-64	some college	other	conservative	barack obama	solid obama
KY	female	white	30-44	college graduate	republican	moderate	john mcCain	solid romney
MI	female	black	45-64	college graduate	other	liberal	barack obama	quasi-battleground
CA	female	white	30-44	college graduate	republican	moderate	john mcCain	solid obama
MA	male	other	45-64	some college	republican	liberal	john mcCain	solid obama
MI	male	white	45-64	some college	republican	conservative	john mcCain	quasi-battleground
PA	male	white	30-44	high school graduate	republican	conservative	john mcCain	quasi-battleground
NH	female	white	65+	college graduate	other	moderate	john mcCain	battleground
AL	female	white	45-64	some college	other	moderate	john mcCain	solid romney
PA	female	black	30-44	college graduate	democrat	liberal	barack obama	quasi-battleground
CA	male	white	45-64	some college	other	conservative	john mcCain	solid obama
OK	female	white	18-29	didn't graduate from HS	republican	conservative	john mcCain	solid romney
MO	female	hispanic	18-29	college graduate	democrat	moderate	barack obama	solid romney
WI	male	white	30-44	college graduate	republican	conservative	john mcCain	quasi-battleground
IN	male	white	18-29	college graduate	republican	conservative	john mcCain	solid romney
TX	female	hispanic	30-44	college graduate	republican	conservative	john mcCain	solid romney
SC	male	white	45-64	high school graduate	republican	conservative	john mcCain	solid romney
MS	female	white	65+	high school graduate	other	moderate	john mcCain	solid romney
NC	female	white	30-44	high school graduate	republican	conservative	john mcCain	quasi-battleground
IL	male	white	45-64	high school graduate	other	conservative	barack obama	solid obama
SC	female	white	65+	college graduate	democrat	moderate	barack obama	solid romney
FL	male	hispanic	30-44	college graduate	republican	moderate	john mcCain	battleground
CA	male	hispanic	45-64	college graduate	democrat	moderate	barack obama	solid obama
NM	female	hispanic	30-44	college graduate	democrat	moderate	barack obama	quasi-battleground
MD	male	white	30-44	college graduate	republican	conservative	john mcCain	solid obama
MN	male	white	30-44	high school graduate	democrat	moderate	barack obama	quasi-battleground
TN	female	white	45-64	some college	other	conservative	john mcCain	solid romney
CA	male	white	30-44	college graduate	democrat	moderate	john mcCain	solid obama
TX	female	white	30-44	college graduate	democrat	moderate	barack obama	solid romney
MN	female	white	45-64	college graduate	democrat	liberal	barack obama	quasi-battleground
LA	female	white	18-29	some college	democrat	conservative	barack obama	solid romney
CA	female	white	45-64	college graduate	democrat	liberal	barack obama	solid obama
TX	female	white	18-29	some college	democrat	liberal	barack obama	solid romney
MN	male	other	45-64	some college	democrat	moderate	barack obama	quasi-battleground
RI	female	white	30-44	college graduate	democrat	liberal	barack obama	solid obama
NY	female	white	45-64	college graduate	republican	conservative	john mcCain	solid obama
KS	male	white	45-64	college graduate	republican	moderate	john mcCain	solid romney
UT	male	white	65+	some college	democrat	conservative	john mcCain	solid romney
NY	male	other	18-29	college graduate	democrat	liberal	barack obama	solid obama
KS	female	white	30-44	some college	republican	moderate	john mcCain	solid romney
AZ	male	white	30-44	college graduate	other	moderate	john mcCain	solid romney
OH	female	white	45-64	college graduate	democrat	liberal	barack obama	battleground
PA	male	white	45-64	college graduate	republican	moderate	john mcCain	quasi-battleground
IL	female	white	30-44	college graduate	democrat	moderate	barack obama	solid obama
NY	male	white	30-44	college graduate	other	moderate	john mcCain	solid obama
FL	male	white	45-64	high school graduate	democrat	moderate	barack obama	battleground
FL	male	black	45-64	some college	democrat	moderate	barack obama	battleground
MA	female	white	45-64	high school graduate	democrat	moderate	barack obama	solid obama
AL	male	white	18-29	some college	republican	conservative	john mcCain	solid romney
CA	male	white	45-64	college graduate	other	moderate	barack obama	solid obama
TX	female	white	30-44	college graduate	democrat	liberal	barack obama	solid romney
ND	male	white	45-64	some college	other	conservative	john mcCain	solid romney
FL	female	white	65+	high school graduate	republican	moderate	john mcCain	battleground
OH	male	white	30-44	college graduate	democrat	moderate	john mcCain	battleground
TN	male	white	18-29	didn't graduate from HS	democrat	liberal	barack obama	solid romney
CA	female	white	45-64	college graduate	other	liberal	barack obama	solid obama
NM	male	other	18-29	some college	democrat	liberal	barack obama	quasi-battleground
CT	female	white	45-64	high school graduate	democrat	liberal	barack obama	solid obama
NJ	female	white	30-44	college graduate	democrat	moderate	barack obama	solid obama
PA	female	white	18-29	college graduate	republican	moderate	john mcCain	quasi-battleground
ND	male	white	45-64	college graduate	other	moderate	barack obama	solid romney
RI	female	white	30-44	college graduate	other	moderate	barack obama	solid obama
MO	male	black	30-44	college graduate	other	liberal	barack obama	solid romney
CA	male	white	18-29	some college	democrat	liberal	barack obama	solid obama
DE	male	white	45-64	some college	republican	conservative	john mcCain	solid obama
TX	male	hispanic	65+	didn't graduate from HS	republican	moderate	barack obama	solid romney
SC	male	white	45-64	college graduate	republican	moderate	john mcCain	solid romney
NV	female	white	45-64	college graduate	democrat	liberal	barack obama	quasi-battleground
IL	female	white	30-44	college graduate	republican	conservative	john mcCain	solid obama
FL	male	white	30-44	some college	republican	conservative	john mcCain	battleground
NY	male	white	30-44	college graduate	republican	moderate	barack obama	solid obama
CA	male	hispanic	45-64	some college	democrat	conservative	barack obama	solid obama
MA	female	white	65+	high school graduate	democrat	moderate	barack obama	solid obama
OH	male	white	45-64	college graduate	other	liberal	barack obama	battleground
FL	male	white	30-44	college graduate	republican	moderate	john mcCain	battleground
CA	female	white	30-44	some college	republican	conservative	john mcCain	solid obama
TX	female	white	45-64	some college	democrat	moderate	barack obama	solid romney
CA	female	white	65+	college graduate	republican	moderate	john mcCain	solid obama
IL	female	white	18-29	some college	democrat	moderate	barack obama	solid obama
WA	male	white	45-64	some college	other	moderate	barack obama	solid obama
CA	female	other	45-64	college graduate	other	conservative	john mcCain	solid obama
WI	male	white	30-44	some college	democrat	liberal	barack obama	quasi-battleground
AZ	female	white	30-44	some college	other	conservative	john mcCain	solid romney
TX	female	white	30-44	some college	other	moderate	barack obama	solid romney
PA	female	white	65+	high school graduate	republican	moderate	john mcCain	quasi-battleground
AR	female	white	45-64	college graduate	other	moderate	john mcCain	solid romney
NC	male	white	30-44	didn't graduate from HS	democrat	liberal	barack obama	quasi-battleground
FL	female	white	45-64	some college	democrat	liberal	barack obama	battleground
GA	female	white	45-64	college graduate	democrat	moderate	barack obama	solid romney
PA	male	white	18-29	college graduate	democrat	moderate	barack obama	quasi-battleground
FL	male	white	65+	some college	other	conservative	john mcCain	battleground
IL	female	black	45-64	didn't graduate from HS	other	moderate	barack obama	solid obama
IL	male	white	45-64	college graduate	democrat	liberal	barack obama	solid obama
CA	male	white	30-44	college graduate	democrat	moderate	barack obama	solid obama
OH	female	other	18-29	high school graduate	other	moderate	barack obama	battleground
IN	female	white	30-44	some college	republican	conservative	john mcCain	solid romney
IL	male	white	65+	didn't graduate from HS	other	moderate	john mcCain	solid obama
FL	female	white	45-64	college graduate	republican	conservative	john mcCain	battleground
CA	female	white	65+	some college	other	moderate	john mcCain	solid obama
OK	female	white	30-44	some college	other	conservative	john mcCain	solid romney
VA	female	other	30-44	college graduate	republican	liberal	john mcCain	battleground
PA	female	white	30-44	college graduate	democrat	moderate	barack obama	quasi-battleground
CA	male	white	30-44	college graduate	democrat	liberal	barack obama	solid obama
NJ	female	white	30-44	college graduate	republican	conservative	john mcCain	solid obama
NE	female	white	45-64	high school graduate	republican	conservative	john mcCain	solid romney
IL	male	black	18-29	college graduate	democrat	moderate	barack obama	solid obama
CA	female	white	65+	high school graduate	democrat	moderate	barack obama	solid obama
FL	male	white	45-64	some college	other	conservative	john mcCain	battleground
CA	male	hispanic	45-64	some college	democrat	moderate	barack obama	solid obama
SD	male	white	18-29	high school graduate	other	liberal	barack obama	solid romney
MI	female	white	30-44	college graduate	republican	moderate	barack obama	quasi-battleground
NY	female	white	65+	college graduate	other	conservative	barack obama	solid obama
NY	female	hispanic	30-44	high school graduate	democrat	moderate	barack obama	solid obama
TX	male	hispanic	18-29	didn't graduate from HS	republican	conservative	john mcCain	solid romney
TX	female	hispanic	30-44	high school graduate	democrat	moderate	barack obama	solid romney
VA	male	white	45-64	college graduate	republican	moderate	john mcCain	battleground
TX	female	white	45-64	some college	republican	liberal	john mcCain	solid romney
VA	male	white	45-64	college graduate	other	conservative	john mcCain	battleground
MA	female	white	45-64	some college	democrat	liberal	barack obama	solid obama
IL	female	white	45-64	some college	democrat	moderate	john mcCain	solid obama
IL	male	white	65+	high school graduate	other	moderate	barack obama	solid obama
FL	female	white	65+	high school graduate	republican	conservative	john mcCain	battleground
CT	female	white	45-64	college graduate	democrat	liberal	barack obama	solid obama
PA	male	white	65+	college graduate	republican	conservative	john mcCain	quasi-battleground
IL	female	white	45-64	college graduate	republican	conservative	john mcCain	solid obama
NY	male	black	30-44	college graduate	democrat	moderate	barack obama	solid obama
CT	male	white	65+	college graduate	republican	conservative	john mcCain	solid obama
OH	female	white	45-64	some college	republican	moderate	john mcCain	battleground
CO	female	hispanic	45-64	some college	democrat	moderate	barack obama	battleground
AZ	female	white	45-64	some college	republican	conservative	john mcCain	solid romney
MA	male	white	30-44	college graduate	democrat	liberal	barack obama	solid obama
OH	male	white	30-44	some college	democrat	moderate	john mcCain	battleground
NE	male	white	45-64	college graduate	other	moderate	barack obama	solid romney
CA	female	white	18-29	college graduate	democrat	liberal	barack obama	solid obama
IL	female	hispanic	30-44	some college	democrat	moderate	barack obama	solid obama
CA	male	white	65+	high school graduate	republican	moderate	john mcCain	solid obama
TN	female	white	45-64	high school graduate	democrat	moderate	john mcCain	solid romney
MD	female	hispanic	18-29	some college	republican	conservative	john mcCain	solid obama
OH	female	white	45-64	some college	republican	conservative	john mcCain	battleground
MA	male	white	45-64	college graduate	democrat	moderate	barack obama	solid obama
WI	female	white	30-44	some college	other	conservative	john mcCain	quasi-battleground
OK	male	white	30-44	college graduate	republican	moderate	john mcCain	solid romney
GA	female	white	30-44	some college	democrat	conservative	barack obama	solid romney
OH	male	white	45-64	some college	other	conservative	john mcCain	battleground
FL	male	hispanic	30-44	some college	other	conservative	john mcCain	battleground
GA	female	white	45-64	didn't graduate from HS	democrat	moderate	barack obama	solid romney
MD	female	white	18-29	college graduate	republican	moderate	john mcCain	solid obama
WI	female	white	45-64	college graduate	democrat	moderate	barack obama	quasi-battleground
NC	male	black	45-64	some college	democrat	liberal	barack obama	quasi-battleground
CA	male	white	18-29	some college	republican	conservative	john mcCain	solid obama
CA	male	white	65+	college graduate	democrat	liberal	barack obama	solid obama
OH	male	black	30-44	some college	other	moderate	barack obama	battleground
CA	female	white	18-29	some college	democrat	moderate	barack obama	solid obama
NY	female	white	45-64	high school graduate	republican	conservative	john mcCain	solid obama
MS	female	black	30-44	high school graduate	democrat	conservative	barack obama	solid romney
VA	female	white	45-64	college graduate	republican	conservative	john mcCain	battleground
CA	female	white	30-44	college graduate	other	moderate	barack obama	solid obama
CA	male	white	18-29	college graduate	republican	liberal	john mcCain	solid obama
OH	female	white	30-44	some college	democrat	liberal	barack obama	battleground
NY	male	white	45-64	college graduate	republican	conservative	john mcCain	solid obama
MI	male	white	65+	some college	democrat	liberal	barack obama	quasi-battleground
MA	male	hispanic	65+	didn't graduate from HS	democrat	conservative	barack obama	solid obama
PA	female	white	45-64	high school graduate	other	moderate	barack obama	quasi-battleground
GA	female	white	45-64	some college	other	moderate	john mcCain	solid romney
NY	male	white	45-64	some college	republican	moderate	john mcCain	solid obama
MS	female	white	65+	didn't graduate from HS	republican	liberal	john mcCain	solid romney
TN	male	white	45-64	didn't graduate from HS	democrat	moderate	john mcCain	solid romney
TX	male	hispanic	65+	some college	democrat	liberal	barack obama	solid romney
OR	male	white	65+	college graduate	democrat	moderate	barack obama	solid obama
NM	female	white	30-44	college graduate	democrat	moderate	john mcCain	quasi-battleground
MO	female	white	30-44	college graduate	democrat	moderate	john mcCain	solid romney
NJ	male	white	30-44	college graduate	other	liberal	barack obama	solid obama
MO	female	white	18-29	some college	democrat	moderate	barack obama	solid romney
ID	female	other	18-29	some college	other	liberal	barack obama	solid romney
CT	male	white	45-64	college graduate	other	conservative	john mcCain	solid obama
MI	male	white	30-44	some college	other	conservative	john mcCain	quasi-battleground
LA	male	white	30-44	college graduate	republican	conservative	john mcCain	solid romney
MS	male	black	18-29	high school graduate	other	moderate	barack obama	solid romney
CA	male	hispanic	18-29	college graduate	democrat	liberal	barack obama	solid obama
NM	female	other	18-29	high school graduate	democrat	moderate	barack obama	quasi-battleground
GA	male	white	30-44	college graduate	republican	conservative	john mcCain	solid romney
ND	male	white	45-64	some college	other	moderate	john mcCain	solid romney
AZ	male	white	30-44	some college	republican	conservative	john mcCain	solid romney
KY	male	white	45-64	some college	republican	moderate	john mcCain	solid romney
FL	male	white	18-29	college graduate	democrat	liberal	barack obama	battleground
AR	female	white	65+	high school graduate	democrat	moderate	barack obama	solid romney
MN	male	white	45-64	some college	republican	conservative	john mcCain	quasi-battleground
CA	male	white	45-64	some college	democrat	liberal	barack obama	solid obama
MT	male	white	18-29	high school graduate	republican	conservative	john mcCain	solid romney
MI	female	white	45-64	some college	democrat	moderate	barack obama	quasi-battleground
NC	female	white	30-44	college graduate	republican	conservative	john mcCain	quasi-battleground
AZ	male	hispanic	30-44	some college	democrat	moderate	barack obama	solid romney
PA	male	white	45-64	some college	republican	conservative	john mcCain	quasi-battleground
NJ	male	white	45-64	college graduate	democrat	moderate	barack obama	solid obama
CA	male	white	65+	college graduate	republican	conservative	john mcCain	solid obama
KS	male	white	65+	some college	republican	conservative	john mcCain	solid romney
CA	male	other	30-44	college graduate	democrat	moderate	barack obama	solid obama
PA	female	black	30-44	some college	democrat	conservative	barack obama	quasi-battleground
NY	female	black	30-44	some college	democrat	moderate	barack obama	solid obama
CA	male	white	18-29	some college	democrat	liberal	barack obama	solid obama
OH	female	white	65+	high school graduate	republican	conservative	john mcCain	battleground
MD	female	white	30-44	college graduate	democrat	moderate	barack obama	solid obama
MO	female	white	45-64	college graduate	other	conservative	john mcCain	solid romney
ND	female	white	18-29	high school graduate	democrat	moderate	barack obama	solid romney
MD	female	hispanic	18-29	didn't graduate from HS	republican	liberal	barack obama	solid obama
MI	male	black	30-44	high school graduate	democrat	moderate	barack obama	quasi-battleground
OH	male	white	45-64	some college	other	conservative	john mcCain	battleground
NJ	female	white	65+	high school graduate	other	moderate	barack obama	solid obama
CO	male	white	45-64	college graduate	republican	conservative	john mcCain	battleground
SC	female	black	45-64	some college	democrat	liberal	barack obama	solid romney
MA	male	white	18-29	college graduate	democrat	liberal	barack obama	solid obama
OH	female	hispanic	45-64	some college	democrat	liberal	barack obama	battleground
WI	female	white	45-64	college graduate	other	moderate	barack obama	quasi-battleground
IN	female	white	18-29	high school graduate	other	moderate	barack obama	solid romney
CA	male	white	65+	college graduate	democrat	moderate	barack obama	solid obama
MD	female	white	45-64	college graduate	democrat	conservative	john mcCain	solid obama
NJ	female	white	65+	college graduate	democrat	liberal	barack obama	solid obama
PA	female	black	45-64	some college	democrat	conservative	barack obama	quasi-battleground
AK	female	white	45-64	college graduate	other	conservative	john mcCain	solid romney
OK	male	hispanic	30-44	some college	democrat	moderate	barack obama	solid romney
PA	female	black	45-64	some college	democrat	liberal	barack obama	quasi-battleground
NJ	female	white	30-44	college graduate	democrat	liberal	barack obama	solid obama
MI	female	white	45-64	some college	other	moderate	john mcCain	quasi-battleground
NV	male	other	65+	some college	other	moderate	barack obama	quasi-battleground
AR	female	white	65+	high school graduate	republican	conservative	john mcCain	solid romney
CA	female	white	30-44	some college	democrat	moderate	barack obama	solid obama
FL	female	white	30-44	high school graduate	other	moderate	john mcCain	battleground
NY	male	white	45-64	college graduate	republican	conservative	john mcCain	solid obama
MN	female	white	18-29	college graduate	democrat	liberal	barack obama	quasi-battleground
MD	male	black	18-29	college graduate	other	conservative	barack obama	solid obama
MO	female	white	18-29	didn't graduate from HS	democrat	liberal	barack obama	solid romney
IL	male	white	18-29	high school graduate	democrat	liberal	barack obama	solid obama
WA	male	white	65+	high school graduate	other	moderate	barack obama	solid obama
CA	male	white	45-64	college graduate	democrat	moderate	barack obama	solid obama
WI	female	black	45-64	college graduate	democrat	liberal	barack obama	quasi-battleground
OH	male	white	65+	college graduate	republican	conservative	john mcCain	battleground
OH	female	white	45-64	high school graduate	democrat	moderate	barack obama	battleground
NC	female	black	30-44	some college	democrat	conservative	barack obama	quasi-battleground
CT	male	white	45-64	high school graduate	other	liberal	john mcCain	solid obama
FL	female	black	30-44	college graduate	democrat	liberal	barack obama	battleground
CA	male	hispanic	30-44	college graduate	other	moderate	barack obama	solid obama
NJ	male	white	30-44	high school graduate	republican	conservative	john mcCain	solid obama
NJ	female	white	45-64	high school graduate	republican	conservative	john mcCain	solid obama
PA	male	white	65+	some college	republican	moderate	john mcCain	quasi-battleground
OH	male	black	18-29	college graduate	democrat	moderate	barack obama	battleground
TX	female	other	65+	college graduate	other	moderate	john mcCain	solid romney
IL	female	white	45-64	college graduate	republican	conservative	john mcCain	solid obama
OK	male	white	30-44	some college	republican	conservative	john mcCain	solid romney
MO	male	white	45-64	college graduate	democrat	moderate	barack obama	solid romney
FL	male	white	45-64	college graduate	republican	conservative	john mcCain	battleground
OK	female	white	30-44	college graduate	republican	moderate	john mcCain	solid romney
MA	female	white	30-44	high school graduate	other	liberal	barack obama	solid obama
KS	female	white	30-44	some college	other	conservative	john mcCain	solid romney
OK	female	white	45-64	high school graduate	democrat	moderate	barack obama	solid romney
CA	male	white	45-64	college graduate	other	moderate	barack obama	solid obama
LA	male	white	45-64	college graduate	other	conservative	john mcCain	solid romney
WI	female	white	45-64	college graduate	republican	conservative	john mcCain	quasi-battleground
IL	female	white	65+	some college	democrat	moderate	barack obama	solid obama
FL	male	white	30-44	college graduate	other	liberal	barack obama	battleground
MI	female	white	18-29	college graduate	other	moderate	barack obama	quasi-battleground
IN	female	white	45-64	college graduate	republican	conservative	john mcCain	solid romney
AL	male	white	18-29	some college	democrat	liberal	barack obama	solid romney
OH	female	white	18-29	college graduate	republican	conservative	john mcCain	battleground
CA	female	white	18-29	college graduate	republican	moderate	barack obama	solid obama
FL	female	white	65+	some college	other	conservative	john mcCain	battleground
CA	female	white	45-64	college graduate	other	liberal	barack obama	solid obama
CA	male	white	45-64	some college	other	moderate	barack obama	solid obama
MA	female	white	18-29	didn't graduate from HS	democrat	liberal	barack obama	solid obama
CA	male	hispanic	30-44	college graduate	republican	moderate	barack obama	solid obama
MI	female	white	30-44	some college	democrat	moderate	john mcCain	quasi-battleground
CA	female	other	30-44	some college	democrat	conservative	barack obama	solid obama
PA	female	hispanic	45-64	college graduate	democrat	moderate	barack obama	quasi-battleground
WV	male	white	30-44	didn't graduate from HS	democrat	conservative	barack obama	solid romney
CA	male	white	45-64	high school graduate	other	moderate	john mcCain	solid obama
CA	male	white	45-64	college graduate	republican	conservative	john mcCain	solid obama
MD	female	black	30-44	high school graduate	democrat	moderate	barack obama	solid obama
NY	male	black	45-64	college graduate	republican	conservative	barack obama	solid obama
FL	female	black	18-29	some college	democrat	conservative	barack obama	battleground
AL	female	black	18-29	college graduate	democrat	liberal	barack obama	solid romney
CT	female	black	45-64	high school graduate	democrat	moderate	barack obama	solid obama
VA	male	white	18-29	high school graduate	other	conservative	john mcCain	battleground
NJ	male	white	45-64	college graduate	republican	moderate	john mcCain	solid obama
NY	female	black	45-64	some college	democrat	liberal	barack obama	solid obama
NC	female	white	30-44	college graduate	other	moderate	john mcCain	quasi-battleground
SC	female	white	30-44	college graduate	republican	conservative	john mcCain	solid romney
VA	female	black	18-29	high school graduate	democrat	conservative	barack obama	battleground
NJ	male	white	45-64	college graduate	democrat	conservative	john mcCain	solid obama
CA	male	hispanic	30-44	some college	democrat	moderate	barack obama	solid obama
CA	male	white	45-64	college graduate	other	moderate	john mcCain	solid obama
NV	male	white	65+	some college	democrat	moderate	barack obama	quasi-battleground
ID	female	white	45-64	college graduate	republican	moderate	john mcCain	solid romney
CA	female	white	30-44	college graduate	democrat	liberal	barack obama	solid obama
TN	male	other	45-64	high school graduate	other	moderate	john mcCain	solid romney
IN	male	white	18-29	high school graduate	other	moderate	barack obama	solid romney
NY	female	white	45-64	college graduate	democrat	liberal	john mcCain	solid obama
ID	male	white	30-44	high school graduate	other	moderate	barack obama	solid romney
VA	male	white	30-44	college graduate	republican	moderate	john mcCain	battleground
OK	male	white	30-44	college graduate	other	conservative	john mcCain	solid romney
NY	female	white	30-44	some college	other	liberal	barack obama	solid obama
NY	male	white	45-64	college graduate	democrat	liberal	barack obama	solid obama
TN	female	white	45-64	college graduate	republican	moderate	john mcCain	solid romney
DE	female	white	45-64	college graduate	republican	liberal	barack obama	solid obama
MA	female	white	65+	college graduate	democrat	liberal	barack obama	solid obama
FL	male	white	45-64	college graduate	republican	conservative	john mcCain	battleground
IN	male	white	65+	didn't graduate from HS	republican	conservative	john mcCain	solid romney
TX	female	hispanic	45-64	high school graduate	democrat	liberal	barack obama	solid romney
WA	male	white	45-64	some college	other	moderate	barack obama	solid obama
KS	female	white	18-29	some college	republican	conservative	john mcCain	solid romney
NY	male	white	45-64	college graduate	other	moderate	barack obama	solid obama
NC	male	black	18-29	high school graduate	democrat	conservative	barack obama	quasi-battleground
NC	female	black	30-44	college graduate	democrat	liberal	barack obama	quasi-battleground
IL	female	white	65+	high school graduate	democrat	conservative	john mcCain	solid obama
NY	female	white	45-64	college graduate	other	moderate	barack obama	solid obama
NY	male	white	45-64	high school graduate	republican	conservative	john mcCain	solid obama
MD	male	white	30-44	some college	other	conservative	john mcCain	solid obama
VA	female	white	65+	college graduate	democrat	moderate	barack obama	battleground
NY	female	white	45-64	some college	democrat	moderate	barack obama	solid obama
MA	male	white	45-64	some college	other	liberal	barack obama	solid obama
NY	female	black	30-44	college graduate	other	liberal	barack obama	solid obama
OH	female	white	30-44	college graduate	democrat	moderate	barack obama	battleground
IA	female	white	30-44	college graduate	republican	conservative	john mcCain	battleground
GA	female	black	18-29	some college	democrat	moderate	barack obama	solid romney
MO	male	white	30-44	some college	democrat	moderate	barack obama	solid romney
FL	female	black	30-44	some college	other	moderate	barack obama	battleground
CA	female	white	18-29	college graduate	democrat	moderate	barack obama	solid obama
IN	male	white	45-64	high school graduate	republican	moderate	john mcCain	solid romney
OH	female	white	45-64	college graduate	other	moderate	barack obama	battleground
CA	male	white	65+	some college	republican	conservative	john mcCain	solid obama
TN	female	white	45-64	college graduate	other	moderate	barack obama	solid romney
NV	female	white	45-64	high school graduate	republican	conservative	john mcCain	quasi-battleground
NY	male	black	18-29	college graduate	democrat	liberal	barack obama	solid obama
KS	female	white	65+	college graduate	republican	liberal	barack obama	solid romney
ID	male	white	45-64	college graduate	republican	conservative	john mcCain	solid romney
CA	male	white	65+	college graduate	democrat	moderate	barack obama	solid obama
AL	male	white	30-44	some college	democrat	liberal	barack obama	solid romney
MA	male	other	45-64	some college	other	moderate	john mcCain	solid obama
PA	female	white	45-64	some college	democrat	liberal	barack obama	quasi-battleground
NY	male	white	18-29	college graduate	democrat	liberal	barack obama	solid obama
MA	male	white	65+	college graduate	democrat	moderate	barack obama	solid obama
GA	female	black	18-29	college graduate	democrat	moderate	barack obama	solid romney
CA	female	other	30-44	college graduate	democrat	moderate	barack obama	solid obama
NC	male	white	30-44	college graduate	democrat	liberal	barack obama	quasi-battleground
NH	female	white	65+	college graduate	other	moderate	barack obama	battleground
TX	female	black	45-64	some college	democrat	conservative	barack obama	solid romney
CA	female	white	45-64	college graduate	democrat	liberal	barack obama	solid obama
IN	female	white	18-29	high school graduate	democrat	moderate	barack obama	solid romney
OH	female	white	45-64	college graduate	republican	conservative	john mcCain	battleground
TX	female	white	45-64	high school graduate	republican	conservative	john mcCain	solid romney
TN	female	white	65+	college graduate	democrat	moderate	barack obama	solid romney
OH	male	white	30-44	college graduate	republican	moderate	john mcCain	battleground
ID	female	white	30-44	college graduate	other	moderate	barack obama	solid romney
GA	female	white	30-44	college graduate	other	moderate	john mcCain	solid romney
PA	male	white	65+	college graduate	other	conservative	john mcCain	quasi-battleground
NY	male	white	30-44	didn't graduate from HS	other	moderate	barack obama	solid obama
OH	male	white	45-64	college graduate	democrat	liberal	barack obama	battleground
WV	male	white	65+	high school graduate	democrat	liberal	barack obama	solid romney
WV	female	white	18-29	some college	republican	conservative	john mcCain	solid romney
OH	female	white	30-44	some college	republican	moderate	john mcCain	battleground
AL	male	white	45-64	some college	republican	moderate	john mcCain	solid romney
MO	female	white	65+	high school graduate	democrat	liberal	barack obama	solid romney
PA	female	white	65+	college graduate	democrat	moderate	barack obama	quasi-battleground
TN	male	white	65+	didn't graduate from HS	democrat	liberal	barack obama	solid romney
KS	female	white	18-29	some college	other	moderate	barack obama	solid romney
NM	female	other	45-64	college graduate	democrat	moderate	barack obama	quasi-battleground
CA	female	black	45-64	high school graduate	other	moderate	barack obama	solid obama
IN	female	white	18-29	high school graduate	democrat	liberal	barack obama	solid romney
TX	female	white	30-44	some college	democrat	conservative	john mcCain	solid romney
CA	male	white	45-64	college graduate	democrat	conservative	barack obama	solid obama
MI	female	white	45-64	high school graduate	republican	conservative	john mcCain	quasi-battleground
MS	female	white	45-64	high school graduate	democrat	moderate	john mcCain	solid romney
OR	female	white	65+	high school graduate	democrat	moderate	barack obama	solid obama
OH	female	white	30-44	college graduate	democrat	moderate	barack obama	battleground
MN	male	white	18-29	high school graduate	republican	conservative	john mcCain	quasi-battleground
TX	female	other	45-64	some college	other	conservative	john mcCain	solid romney
IL	female	black	18-29	college graduate	democrat	liberal	barack obama	solid obama
GA	female	white	18-29	some college	democrat	liberal	barack obama	solid romney
AL	female	white	45-64	some college	democrat	conservative	john mcCain	solid romney
NY	female	black	45-64	college graduate	other	moderate	barack obama	solid obama
PA	female	white	65+	high school graduate	other	moderate	barack obama	quasi-battleground
IN	female	white	65+	didn't graduate from HS	democrat	moderate	barack obama	solid romney
IL	male	white	45-64	some college	republican	conservative	john mcCain	solid obama
UT	female	black	45-64	some college	democrat	moderate	barack obama	solid romney
NC	male	black	30-44	high school graduate	democrat	liberal	barack obama	quasi-battleground
WV	female	white	30-44	high school graduate	democrat	moderate	barack obama	solid romney
VA	female	white	65+	college graduate	democrat	liberal	barack obama	battleground
NM	male	other	65+	high school graduate	democrat	moderate	barack obama	quasi-battleground
TX	female	white	45-64	college graduate	republican	conservative	john mcCain	solid romney
CA	male	white	65+	college graduate	republican	conservative	john mcCain	solid obama
IL	female	white	65+	some college	republican	moderate	john mcCain	solid obama
KS	female	white	30-44	college graduate	republican	conservative	john mcCain	solid romney
KS	male	white	18-29	some college	republican	conservative	john mcCain	solid romney
WI	female	white	30-44	college graduate	democrat	liberal	barack obama	quasi-battleground
MI	male	white	45-64	some college	democrat	moderate	barack obama	quasi-battleground
CA	female	white	30-44	college graduate	democrat	moderate	barack obama	solid obama
OH	male	black	45-64	some college	democrat	liberal	barack obama	battleground
NJ	female	white	18-29	high school graduate	republican	conservative	barack obama	solid obama
NY	male	black	30-44	high school graduate	republican	liberal	barack obama	solid obama
NY	female	hispanic	30-44	college graduate	republican	conservative	john mcCain	solid obama
TN	male	white	30-44	college graduate	democrat	moderate	barack obama	solid romney
WV	female	white	45-64	college graduate	democrat	liberal	barack obama	solid romney
